,Vietnamese,Positive,Negative,"Anger
/ tức giận","Anticipation
/ Hi vọng","Disgust
/ chán ghét","Fear
/ sợ hãi","Joy
/ thích thú","Sadness
/ buồn bã","Surprise
/ ngạc nhiên","Trust
/ tin tưởng",
celebrity,Danh nhân,1,0,0,0,0,0,1,0,1,1,4
celebrity,danh tiếng,1,0,0,1,0,0,1,0,1,1,5
opera,nghệ thuật nhạc kịch,0,0,0,0,0,0,1,0,1,0,2
celebrity,sự nổi tiếng,1,1,0,1,0,0,1,0,1,1,6
endless,bất tận,0,0,0,0,0,1,0,1,0,1,3
epidemic,bệnh dịch,0,1,1,1,1,1,0,1,1,0,7
retirement,bỏ cuộc,0,1,0,1,0,1,0,1,0,0,4
outburst,bùng nổ,0,0,1,0,0,1,1,1,1,0,5
romance,cường điệu,1,0,0,0,1,0,0,0,1,0,3
,dơ,0,1,1,1,1,1,0,1,1,0,7
nurture,giáo dục,1,0,0,1,0,0,1,0,0,1,4
romance,lãng mạng,1,0,0,1,0,1,1,1,1,1,7
romance,mơ mộng,1,0,0,1,0,1,1,1,1,1,7
retirement,nghỉ hưu,0,0,0,1,0,0,1,1,0,1,4
,ngừng hoạt động,0,1,1,1,1,1,0,1,1,0,7
,nhơ,0,1,1,1,1,1,0,1,1,0,7
nurture,nuôi nấng,1,0,1,1,1,1,1,0,0,1,7
,trộm,0,1,0,1,1,1,1,1,1,0,7
grim,ác nghiệt,0,1,1,1,1,1,0,1,0,0,6
tempest,bão,0,1,0,0,0,1,0,0,1,0,3
unbeaten,bất khuất,1,0,0,1,0,0,1,0,1,1,5
,bị đối xử tàn tệ,0,1,1,1,1,1,0,1,0,0,6
,bị lạm dụng,0,1,1,1,1,1,0,1,0,0,6
,bị ngược đãi,0,1,1,1,1,1,0,1,0,0,6
lace,buộc,0,0,1,0,0,1,0,1,0,1,4
highest,cao nhất,0,0,0,1,0,0,1,0,1,0,3
pray,cầu xin,0,0,0,1,0,0,0,0,1,1,3
bloodshed,chém giết,0,1,1,0,1,1,0,1,0,0,5
,chênh lệch,0,0,0,1,0,0,0,0,1,0,2
cash,có tiền,1,0,0,0,0,1,1,0,0,1,4
money,của cải,1,0,1,1,0,0,1,0,1,1,6
,cướp bóc,0,1,1,0,1,1,0,1,1,0,6
,cướp giật,0,1,1,0,1,1,0,1,1,0,6
immerse,đám chìm,0,0,0,1,0,1,1,0,1,0,4
destination,đích đến,1,0,0,1,0,1,1,1,1,0,6
parade,diễu hành,0,0,0,1,0,1,1,0,1,0,4
bloodshed,đổ máu,0,1,1,0,1,1,0,1,1,0,6
tempest,dông tố,0,1,0,1,0,1,0,1,1,0,5
parade,duyệt binh,1,1,0,1,0,1,1,0,1,0,6
dreadful,ghê gớm,0,1,1,1,1,1,0,1,0,0,6
sensual,gợi cảm,1,1,0,1,0,0,1,0,1,1,6
sensual,ham muốn,1,1,0,1,0,0,1,0,1,1,6
marry,kết hôn,1,0,0,1,0,1,1,0,1,1,6
pray,khẩn cầu,1,0,0,1,0,1,1,0,1,1,6
illegitimate,không chính đáng,0,1,1,0,1,1,0,1,1,0,6
illegitimate,không hợp pháp,0,1,1,0,1,1,0,1,1,0,6
unbridled,không kiềm chế,1,1,1,1,0,1,0,0,1,0,6
excitation,kích thích,1,0,1,1,0,1,1,0,1,0,6
,lãng trí,0,1,1,1,1,1,0,1,0,0,6
marry,lấy chồng,1,0,0,1,0,1,1,0,1,1,6
marry,lấy vợ,1,0,0,1,0,1,1,0,1,1,6
highest,lớn nhất,1,1,0,1,0,1,1,0,1,0,6
immerse,mải mê,1,0,0,1,0,1,1,0,1,1,6
pray,nguyện cầu,1,0,0,1,0,1,1,0,1,1,6
grim,nhẫn tâm,0,1,1,1,1,1,0,1,0,0,6
,nhơ bẩn,0,1,1,1,1,1,0,1,0,0,6
sensual,nhục dục,1,1,0,1,0,0,1,0,1,1,6
parade,phô trương,0,0,0,1,0,0,1,0,1,0,3
grim,tàn nhẫn,0,1,1,1,1,1,0,0,0,0,5
unbridled,thả lỏng,0,0,0,1,0,1,0,0,1,0,3
unbeaten,thắng,1,0,0,0,0,0,1,0,1,0,3
youth,thanh Xuân,1,0,0,1,0,0,1,0,0,0,3
lace,thắt,1,1,1,0,0,1,0,1,0,1,6
money,tiền bạc,1,0,1,1,0,0,1,0,1,1,6
cash,tiền mặt,1,0,1,1,0,1,1,0,0,1,6
graduation,tốt nghiệp,1,0,0,1,0,1,1,0,1,1,6
torture,tra khảo,0,1,1,1,1,1,0,1,0,0,6
torture,tra tấn,0,1,1,1,1,1,0,1,0,0,6
fugitive,trốn tránh,0,1,1,0,1,1,0,1,0,1,6
youth,tuổi trẻ,1,0,1,1,0,1,1,0,1,0,6
unbeaten,vô địch,1,0,0,0,0,0,1,0,1,0,3
,vô gia cư,0,1,0,1,1,1,0,1,0,0,5
,vô thể,0,0,1,0,1,1,0,0,1,0,4
,vụng trộm,0,1,1,1,1,1,1,0,0,0,6
boisterous,ầm ỹ,1,1,1,0,0,0,0,0,0,0,3
yearning,ao ước,1,1,0,1,0,0,1,0,0,0,4
midwife,bà đỡ,1,1,0,1,0,0,0,0,0,1,4
midwife,bà mụ,1,1,0,1,0,0,0,0,0,1,4
orchestra,ban nhạc,0,0,0,0,0,0,0,0,0,1,1
unlawful,bất hợp pháp,0,1,0,0,1,1,0,1,0,0,4
,bất hợp tác,0,1,1,1,1,0,0,1,0,0,5
adverse,bất lợi,0,1,1,0,1,1,0,1,0,0,5
discontent,bất mãn,0,1,1,0,1,0,0,1,0,0,4
undying,bất tử,1,0,0,0,0,0,1,1,0,1,4
present,bày tỏ,1,0,0,1,0,0,1,0,1,1,5
disfigured,bị biến dạng,0,1,0,0,0,1,0,1,0,0,3
,bị co giật,0,1,0,1,1,1,0,0,1,0,5
,bị co rút,0,1,0,1,1,1,0,0,1,0,5
excited,bị kích thích,0,0,0,1,0,0,1,0,1,0,3
,bị tàn phá,0,1,1,0,1,1,0,1,0,0,5
dawn,bình minh,1,0,0,1,0,0,1,0,0,0,3
desert,bỏ đi,0,1,0,0,1,1,0,1,0,0,4
desert,bỏ rơi,0,1,0,0,1,1,0,1,0,0,4
complement,bổ sung,1,0,0,1,0,0,1,0,1,1,5
desert,bỏ trốn,0,1,0,1,0,1,0,0,0,0,3
compensate,bồi thường,1,0,0,1,0,0,1,0,1,1,5
bomb,bom,0,1,0,0,0,1,0,0,1,0,3
compensate,bù lại,1,0,0,1,0,0,0,0,0,0,2
compliment,ca ngợi,1,0,0,1,0,0,1,0,1,1,5
mug,cả tin,0,1,0,0,0,1,0,1,0,0,3
compliment,ca tụng,1,0,0,0,0,0,1,0,1,1,4
imprisoned,cầm tù,0,1,1,0,1,1,0,1,0,0,5
climax,cao đỉnh,1,0,0,1,0,0,1,0,1,1,5
crescendo,cao trào,1,0,0,1,0,0,1,0,1,1,5
cutting,cay độc,0,1,1,0,1,1,0,1,0,0,5
belittle,chê,0,1,1,0,1,1,0,1,0,0,5
crushed,chen chúc,0,1,1,0,1,1,0,1,0,0,5
dying,chết,0,1,1,0,1,1,0,1,0,0,5
deadly,chết chóc,0,1,1,0,1,1,0,1,0,0,5
deadly,chết người,0,1,0,0,1,1,0,1,0,0,4
bloody,chết tiệt,0,1,1,0,1,1,0,1,0,0,5
bitch,chó cái,0,1,1,0,1,1,0,1,0,0,5
tantalizing,chọc tức,1,1,0,1,0,0,1,0,1,0,5
adverse,chống đối,0,1,1,0,1,1,0,1,0,0,5
antisocial,chống đối xã hội,0,1,1,0,1,1,0,1,0,0,5
crowning,chu toàn,1,0,0,1,0,0,1,0,1,1,5
unfulfilled,chưa thực hiện,0,1,1,1,0,0,0,1,1,0,5
sweet,có duyên,1,0,0,1,0,0,1,0,1,1,5
adverse,có hại,0,1,0,0,1,1,0,0,0,0,3
hopeful,có triển vọng,1,0,0,1,0,0,1,0,1,1,5
cheer,cổ vũ,1,0,0,1,0,0,1,0,1,1,5
belittle,coi nhẹ,0,1,1,0,1,1,0,1,0,0,5
climax,cực điểm,1,0,0,1,0,0,1,0,1,1,5
consecration,cúng tế,1,0,0,1,0,0,1,1,0,1,5
chuckle,cười thầm,1,0,0,1,0,0,1,0,1,1,5
picnic,dã ngoại,1,0,0,1,0,0,1,0,1,1,5
bloody,đẫm máu,0,1,1,0,1,1,0,1,0,0,5
hanging,đáng chết treo,0,1,1,0,1,1,0,1,0,0,5
deplorable,đáng trách,0,1,1,0,1,1,0,1,0,0,5
hanging,đáng treo cổ,0,1,1,0,1,1,0,1,0,0,5
,đắt,0,1,0,1,1,0,0,1,1,0,5
,đắt đỏ,0,1,0,1,1,0,0,1,1,0,5
,đắt giá,0,1,0,1,1,0,0,1,1,0,5
,đắt tiền,0,1,0,1,1,0,0,1,1,0,5
banish,đày,0,1,1,0,1,1,0,1,0,0,5
hateful,đầy căm hờn,0,1,1,0,1,1,0,1,0,0,5
hateful,đầy căm thù,0,1,1,0,1,1,0,1,0,0,5
hopeful,đầy hứa hẹn,1,0,0,1,0,0,1,0,1,1,5
,đầy máu,0,1,1,0,1,1,0,1,0,0,5
,dễ mắc lừa,0,1,1,0,1,1,0,1,0,0,5
compensate,đền bù,1,0,0,1,0,0,1,0,1,1,5
inheritance,di sản,1,0,0,1,0,0,1,0,1,1,5
embrace,đi theo,1,0,0,1,0,0,1,0,1,1,5
,địa chấn,0,1,0,1,1,1,0,0,1,0,5
,điên cuồng,0,1,1,0,1,1,0,0,1,0,5
crescendo,đỉnh cao,1,0,0,1,0,0,1,0,1,1,5
convict,độc ác,0,1,1,0,1,1,0,1,0,0,5
independence,độc lập,1,0,0,1,0,0,1,0,1,1,5
corrupting,đồi bại,0,1,1,0,1,1,0,1,0,0,5
,động đất,0,1,0,1,1,1,0,0,1,0,5
sympathetic,đồng tình,1,0,0,0,0,1,1,1,0,1,5
boisterous,dữ dội,1,1,1,1,0,0,1,0,0,0,5
cutting,gay gắt,0,1,1,0,1,1,0,1,0,0,5
,giả bộ,0,1,1,0,1,0,1,0,1,0,5
advance,gia tăng,1,0,0,1,0,1,1,0,1,0,5
imprisoned,giam cầm,0,1,1,0,1,1,0,1,0,0,5
,giấu,0,1,0,1,1,0,1,0,1,0,5
,giấu giếm,0,1,0,1,1,0,1,0,1,0,5
,giết người,0,1,1,0,1,1,0,0,1,0,5
chant,giọng trầm bổng,1,0,1,1,0,0,1,0,1,0,5
confined,gò bó,0,1,1,0,1,1,0,1,0,0,5
remains,hài cốt,1,1,0,0,1,1,0,0,0,1,5
